family,algo,median_cpu_sec,median_exp,median_rel,ok_rate,n_samples,median_cpu_ms
BA,A*,0.0002125840001099,35.0,91.0,1.0,12000,0.2125840001099
BA,DIJKSTRA,0.0002176665038859,50.0,94.0,1.0,12000,0.2176665038859
COMM,A*,0.00017164550445154998,39.0,82.0,1.0,36000,0.17164550445154997
COMM,DIJKSTRA,0.0001690625031187,50.0,86.0,1.0,36000,0.1690625031187
ER,A*,0.00020597899856505,37.0,89.0,1.0,12000,0.20597899856505
ER,DIJKSTRA,0.00020543749633355,50.0,92.0,1.0,12000,0.20543749633355
GRID,A*,0.0001183339991257,41.0,62.0,1.0,12000,0.1183339991257
GRID,DIJKSTRA,0.0001311250016442,55.0,72.0,1.0,12000,0.1311250016442
WS,A*,0.00020174999735895,40.0,84.0,1.0,48000,0.20174999735895
WS,DIJKSTRA,0.0002012080003623,50.0,88.0,1.0,48000,0.20120800036230002
